Stock,Date,Industry,Open,Close,High,Low,Volume,Adjust Close Price,Daily Value Traded,Beta,RSI,EPS,Total Revenue Quarter,Dividend per share Quarter
XOM,10/5/2022,Energy,95.75,99.12,99.99,95.66,34.8577,89.4664,3455.09522,0.07483,62.66735,6.15461,107438,0.88
XOM,10/4/2022,Energy,93.24,95.27,95.36,92.71,22.13371,85.99137,2108.67855,1.34474,56.98919,6.15461,107438,0.88
XOM,10/3/2022,Energy,90.04,91.92,92.36,89.72,23.88133,82.96763,2195.17185,1.34851,50.96302,6.15461,107438,0.88
XOM,10/2/2022,Energy,0,0,0,0,0,78.80661,0,1.13022,40.26918,6.15461,107438,0.88
XOM,10/1/2022,Energy,0,0,0,0,0,78.80661,0,1.15834,40.26918,6.15461,107438,0.88
XOM,9/30/2022,Energy,88.17,87.31,89.04,87.31,21.35756,78.80661,1864.72856,1.15834,40.26918,6.15461,107438,0.88
XOM,9/29/2022,Energy,88.18,88.68,89.3582,87.13,17.89601,80.04319,1587.01817,0.9359,42.84771,6.15461,111993,0.88
XOM,9/28/2022,Energy,86.12,88.86,89.2999,85.92,19.54332,80.20566,1736.61942,1.65589,43.18508,6.15461,111993,0.88
XOM,9/27/2022,Energy,85.61,85.74,86.955,84.81,17.30729,77.38952,1483.92705,4.91357,34.94022,6.15461,111993,0.88
XOM,9/26/2022,Energy,84.9,83.98,86.22,83.89,22.04336,75.80093,1851.20137,5.34552,29.58791,6.15461,111993,0.88
XOM,9/25/2022,Energy,0,0,0,0,0,77.39855,0,3.52745,32.05018,6.15461,111993,0.88
XOM,9/24/2022,Energy,0,0,0,0,0,77.39855,0,3.75303,32.05018,6.15461,111993,0.88
CVX,9/23/2025,Energy,157.12,157.42,159.83,156.985,7.18138,157.42,1130.49331,-1.78185,51.92188,6.10905,44614,1.71
CVX,9/22/2025,Energy,155.62,156.05,157.12,155.15,5.24403,156.05,818.3301,-28.42879,48.23017,6.10905,44614,1.71
CVX,9/21/2025,Energy,0,0,0,0,0,156.21,0,-2.70926,48.63516,6.10905,44614,1.71
CVX,9/20/2025,Energy,0,0,0,0,0,156.21,0,-3.57261,48.63516,6.10905,44614,1.71
CVX,9/19/2025,Energy,158.995,156.21,158.995,155.55,16.73399,156.21,2614.01627,-3.57261,48.63516,6.10905,44614,1.71
CVX,9/18/2025,Energy,160.03,158.84,160.29,158.09,6.24423,158.84,991.83286,-2.87464,55.78496,6.10905,44614,1.71
CVX,9/17/2025,Energy,159.195,160.09,160.67,158.61,5.73678,160.09,918.40063,-1.36384,59.65543,6.10905,44614,1.71
CVX,9/16/2025,Energy,158.25,159.54,160.1,158.12,8.01103,159.54,1278.08005,-0.79573,58.4784,6.10905,44614,1.71
CVX,9/15/2025,Energy,157.375,157.31,158.32,156.5,5.03046,157.31,791.34182,1.15863,53.3549,6.10905,44614,1.71
CVX,9/14/2025,Energy,0,0,0,0,0,157.11,0,0.75899,52.87059,6.10905,44614,1.71
CVX,9/13/2025,Energy,0,0,0,0,0,157.11,0,0.73512,52.87059,6.10905,44614,1.71
CVX,9/12/2025,Energy,158.845,157.11,159.78,157.1,5.54633,157.11,871.38438,0.73512,52.87059,6.10905,44614,1.71
CVX,9/11/2025,Energy,156.5,158.25,158.92,156.01,6.41741,158.25,1015.55482,-1.55575,55.94506,6.10905,44614,1.71
CVX,9/10/2025,Energy,155.05,157.79,157.92,155,7.44081,157.79,1174.08557,17.28347,54.96379,6.10905,44614,1.71
CVX,9/9/2025,Energy,154.91,154.85,156.985,154.6,7.76918,154.85,1203.05706,5.29159,48.10364,6.10905,44614,1.71
CVX,9/8/2025,Energy,153.91,154,155.03,152.875,9.46197,154,1457.14323,1.93344,45.89091,6.10905,44614,1.71
CVX,9/7/2025,Energy,0,0,0,0,0,153.66,0,1.67438,45.0202,6.10905,44614,1.71
CVX,9/6/2025,Energy,0,0,0,0,0,153.66,0,1.67438,45.0202,6.10905,44614,1.71
CVX,9/5/2025,Energy,156.06,153.66,156.72,153.4899,11.01167,153.66,1692.05275,1.67438,45.0202,6.10905,44614,1.71
CVX,9/4/2025,Energy,158.06,157.69,159.65,157.5,7.24297,157.69,1142.14457,6.45426,54.70983,6.10905,44614,1.71
CVX,9/3/2025,Energy,160,158.06,161.85,157.02,9.55612,158.06,1510.4397,-2.57473,55.73247,6.10905,44614,1.71
CVX,9/2/2025,Energy,160.48,161.83,161.86,159.38,8.9473,161.83,1447.94188,0.71518,67.70649,6.10905,44614,1.71
CVX,9/1/2025,Energy,0,0,0,0,0,160.6,0,-0.78835,65.45818,6.10905,44614,1.71
CVX,8/31/2025,Energy,0,0,0,0,0,160.6,0,-0.2738,65.45818,6.10905,44614,1.71
CVX,8/30/2025,Energy,0,0,0,0,0,160.6,0,-0.78362,65.45818,6.10905,44614,1.71
CVX,8/29/2025,Energy,159.7,160.6,161.1,159.45,6.93484,160.6,1113.7353,-0.78362,65.45818,6.10905,44614,1.71
CVX,8/28/2025,Energy,159.01,159.32,159.5174,157.8482,6.50245,159.32,1035.96986,-9.73109,62.96673,6.10905,44614,1.71
CVX,8/27/2025,Energy,157.4,159.24,159.99,157.205,7.48296,159.24,1191.58671,0.02548,62.81105,6.10905,44614,1.71
CVX,8/26/2025,Energy,157.51,157.36,160,156.55,10.27003,157.36,1616.09161,0.92156,59.05521,6.10905,44614,1.71
CVX,8/25/2025,Energy,157.9,158.2,158.32,157.17,7.02997,158.2,1112.14078,0.48617,61.63794,6.10905,44614,1.71
CVX,8/24/2025,Energy,0,0,0,0,0,158.18,0,0.26107,61.60081,6.10905,44614,1.71
CVX,8/23/2025,Energy,0,0,0,0,0,158.18,0,1.01123,61.60081,6.10905,44614,1.71
CVX,8/22/2025,Energy,155.32,158.18,158.79,155.32,9.08434,158.18,1436.96153,1.01123,61.60081,6.10905,44614,1.71
CVX,8/21/2025,Energy,152.82,155.55,155.67,152.73,7.53363,155.55,1171.85537,8.91398,56.45458,6.10905,44614,1.71
CVX,8/20/2025,Energy,152.42,153.22,153.49,151.93,8.07627,153.22,1237.44594,2.81236,51.05876,6.10905,44614,1.71
CVX,8/19/2025,Energy,153.46,152,153.94,151.855,8.56748,152,1302.25635,2.42526,47.92117,6.10905,44614,1.71
CVX,8/18/2025,Energy,156.13,155.32,156.49,154.75,8.17428,153.61,1269.62917,-4.88237,57.18514,6.10905,44614,1.71
CVX,8/17/2025,Energy,0,0,0,0,0,154.82646,0,-0.01635,61.25917,6.10905,44614,1.71
CVX,8/16/2025,Energy,0,0,0,0,0,154.82646,0,0.13903,61.25917,6.10905,44614,1.71
CVX,8/15/2025,Energy,155.48,156.55,158.54,155.29,11.61705,154.82646,1818.64871,0.13903,61.25917,6.10905,44614,1.71
CVX,8/14/2025,Energy,155.7,155.16,155.7,154.1,7.33726,153.45176,1138.44895,0.70894,58.12891,6.10905,44614,1.71
CVX,8/13/2025,Energy,154.57,155.87,156.01,154.2031,6.58219,154.15395,1025.96611,1.09025,60.44542,6.10905,44614,1.71
CVX,8/12/2025,Energy,154.09,154.44,156.05,153.36,6.64537,152.73969,1026.31141,1.40709,57.25999,6.10905,44614,1.71
CVX,8/11/2025,Energy,155.34,153.45,155.93,152.985,6.16972,151.76059,946.74292,1.81457,54.92649,6.10905,44614,1.71
